name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Jean Lucas,Central Midfield,23,4000000,France,Ligue 1,Olympique Lyon,Monaco,Ligue 1,AS Monaco,11000000
Leonardo Balerdi,Centre-Back,22,8000000,Germany,Bundesliga,Borussia Dortmund,France,Ligue 1,Olympique Marseille,11000000
Milot Rashica,Right Winger,25,9000000,Germany,2. Bundesliga,SV Werder Bremen,England,Premier League,Norwich City,11000000
Francisco Ribeiro,Central Midfield,18,-,Portugal,Without League,FC Porto U19,Portugal,Liga Revelacao U23,Vitória de Guimarães SC U23,11000000
Abdallah Sima,Right Winger,20,11000000,Czech Republic,Fortuna Liga,SK Slavia Prague,England,Premier League,Brighton & Hove Albion,8000000
Jakub Jankto,Left Midfield,25,11000000,Italy,Serie A,UC Sampdoria,Spain,LaLiga,Getafe CF,6000000
Giovanni Simeone,Centre-Forward,26,11000000,Italy,Serie A,Cagliari Calcio,Italy,Serie A,Hellas Verona,1000000
Ozan Tufan,Central Midfield,26,11000000,Turkey,Süper Lig,Fenerbahce SK,England,Premier League,Watford FC,1000000
Abdallah Sima,Right Winger,20,11000000,England,Premier League,Brighton & Hove Albion,England,Championship,Stoke City,loan transfer
Hee-chan Hwang,Centre-Forward,25,11000000,Germany,Bundesliga,RB Leipzig,England,Premier League,Wolverhampton Wanderers,loan transfer
Ademola Lookman,Left Winger,23,11000000,Germany,Bundesliga,RB Leipzig,England,Premier League,Leicester City,loan transfer
Luiz Araújo,Right Winger,25,10000000,France,Ligue 1,LOSC Lille,United States,MLS,Atlanta United FC,10000000
Lautaro Valenti,Centre-Back,22,4000000,Argentina,Liga Profesional,Club Atlético Lanús,Italy,Serie B,Parma Calcio 1913,10000000
Igor Coronado,Attacking Midfield,28,5000000,United Arab Emirates,UAE Pro League,Sharjah Cultural Sports Club,Saudi Arabia,Professional League,Al-Ittihad Jeddah,10000000
Pape Sarr,Defensive Midfield,18,10000000,France,Ligue 1,FC Metz,England,Premier League,Tottenham Hotspur,16000000
Lassina Traoré,Centre-Forward,20,6000000,Netherlands,Eredivisie,Ajax Amsterdam,Ukraine,Premier Liga,Shakhtar Donetsk,10000000
Frank Onyeka,Central Midfield,23,6000000,Denmark,Superligaen,FC Midtjylland,England,Premier League,Brentford FC,10000000
Yoane Wissa,Left Winger,24,10000000,France,Ligue 1,FC Lorient,England,Premier League,Brentford FC,10000000
Talisca,Attacking Midfield,27,10000000,China,Super League,Guangzhou FC,Saudi Arabia,Professional League,Al-Nassr Riad,8000000
Alban Lafont,Goalkeeper,22,10000000,Italy,Serie A,ACF Fiorentina,France,Ligue 1,FC Nantes,7000000
Mitchel Bakker,Left-Back,21,10000000,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,Bayer 04 Leverkusen,7000000
Ludwig Augustinsson,Left-Back,27,10000000,Germany,2. Bundesliga,SV Werder Bremen,Spain,LaLiga,Sevilla FC,5000000
Mario Lemina,Defensive Midfield,27,10000000,England,Premier League,Southampton FC,France,Ligue 1,OGC Nice,5000000
Alex Kral,Defensive Midfield,23,10000000,Russia,Premier Liga,Spartak Moscow,England,Premier League,West Ham United,5000000
Mergim Berisha,Centre-Forward,23,10000000,Austria,Bundesliga,Red Bull Salzburg,Turkey,Süper Lig,Fenerbahce SK,5000000
Moussa Sissoko,Central Midfield,32,10000000,England,Premier League,Tottenham Hotspur,England,Premier League,Watford FC,3000000
Felipe Anderson,Left Winger,28,10000000,England,Premier League,West Ham United,Italy,Serie A,SS Lazio,3000000
Marko Arnautovic,Centre-Forward,32,10000000,China,Super League,Shanghai Port,Italy,Serie A,Bologna FC 1909,3000000
Maxime López,Central Midfield,23,10000000,France,Ligue 1,Olympique Marseille,Italy,Serie A,US Sassuolo,2000000
Pau López,Goalkeeper,26,10000000,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,720000
Kenedy,Left Winger,25,10000000,England,Premier League,Chelsea FC,Brazil,Série A,Clube de Regatas do Flamengo,500000
Michy Batshuayi,Centre-Forward,27,10000000,England,Premier League,Chelsea FC,Turkey,Süper Lig,Besiktas JK,150000
Moussa Marega,Second Striker,30,10000000,Portugal,Liga Bwin,FC Porto,Saudi Arabia,Professional League,Al-Hilal Riyadh,free transfer
Vincent Aboubakar,Centre-Forward,29,10000000,Turkey,Süper Lig,Besiktas JK,Saudi Arabia,Professional League,Al-Nassr Riad,free transfer
Sergio Ramos,Centre-Back,35,10000000,Spain,LaLiga,Real Madrid,France,Ligue 1,Paris Saint-Germain,free transfer
Billy Gilmour,Central Midfield,20,10000000,England,Premier League,Chelsea FC,England,Premier League,Norwich City,loan transfer
José Macías,Centre-Forward,21,10000000,Mexico,Liga MX Apertura,Deportivo Guadalajara,Spain,LaLiga,Getafe CF,loan transfer
Benjamin Lecomte,Goalkeeper,30,10000000,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,Atlético de Madrid,loan transfer
Brandon Williams,Left-Back,20,10000000,England,Premier League,Manchester United,England,Premier League,Norwich City,loan transfer
Pape Sarr,Defensive Midfield,18,10000000,England,Premier League,Tottenham Hotspur,France,Ligue 1,FC Metz,loan transfer
Álvaro Odriozola,Right-Back,25,10000000,Spain,LaLiga,Real Madrid,Italy,Serie A,ACF Fiorentina,loan transfer
Kang-in Lee,Attacking Midfield,20,10000000,Spain,LaLiga,Valencia CF,Spain,LaLiga,RCD Mallorca,free transfer
Florentino,Defensive Midfield,22,10000000,Portugal,Liga Bwin,SL Benfica,Spain,LaLiga,Getafe CF,loan transfer
Valentino Lazaro,Right Winger,25,10000000,Italy,Serie A,Inter Milan,Portugal,Liga Bwin,SL Benfica,loan transfer
Arnaud Kalimuendo,Centre-Forward,19,10000000,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,RC Lens,loan transfer
